gage_id,n_days,first_day,last_day
11266500,13373,1990-01-01,2026-08-12
11276500,13373,1990-01-01,2026-08-12
11276900,13373,1990-01-01,2026-08-12
11277300,13373,1990-01-01,2026-08-12
11284400,13373,1990-01-01,2026-08-12
11278000,13366,1990-01-01,2026-08-12
11292900,13058,1990-01-01,2025-10-01
11296500,13057,1990-01-01,2025-09-30
11298000,13057,1990-01-01,2025-09-30
11276600,13009,1990-01-01,2026-08-12
11278300,13009,1990-01-01,2026-08-12
11297200,9563,1990-01-01,2025-09-30
11281000,4291,1990-01-01,2002-09-30
11282000,4291,1990-01-01,2002-09-30
